id;tarih;tutar;notlar;gider_tipi;odeme_araci
1;2020-01-03T03:49:22;70708;override monitor Shoes;SU;ARAC2
2;2020-01-03T08:36:17;79489;adapter impactful;TAKSI;ARAC2
3;2020-01-02T10:03:37;95296;Ergonomic Frozen Shoes Cape;VERGI;ARAC2
4;2020-01-02T20:55:43;67086;plum;ELEKTRIK;ARAC2
5;2020-01-02T10:32:40;39791;application Proactive;KARGO;ARAC1
6;2020-01-02T22:05:32;80475;Refined Metal Car;DIGER;ARAC2
7;2020-01-03T02:03:00;77689;Sleek Fresh Chair;AIDAT;ARAC2
8;2020-01-03T05:02:40;78517;compressing Auto Loan Account salmon;AIDAT;ARAC2
9;2020-01-02T16:33:57;41181;invoice Product leading-edge;SU;ARAC1
10;2020-01-02T12:51:15;47451;exploit;ELEKTRIK;ARAC1
